Cod_Prod	Nom_Prod	Concent	Nom_Form_Farm	Presentac	Fracción	Num_RegSan	Nom_Titular	Nom_Fabricante	Nom_IFA	Nom_Rubro	Situación
39838	3A OFTENO	0.1 %	Solución Oftálmica	Caja Frasco gotero x 5 mL	1	EE01394	FARMACEUTICA CONTINENTAL E.I.R.L.	LABORATORIOS SOPHIA,S.A. DE C.V.	DICLOFENACO SODICO	ESPECIALIDAD FARMACEUTICA	ACT
46962	3A OFTENO	0.1 %	Solución Oftálmica	Caja Frasco gotero x 5 mL	1	EE01394	LABORATORIOS OFTALMICOS S.A.C.	LABORATORIOS SOPHIA,S.A. DE C.V.	DICLOFENACO SODICO	ESPECIALIDAD FARMACEUTICA	ACT
57269	3A OFTENO	0.1 %	Solución Oftálmica	Caja Frasco Gotero x 5 mL	1	EE01394	LABOFTA S.A.C.	LABORATORIOS SOPHIA,S.A. DE C.V.	DICLOFENACO SODICO	ESPECIALIDAD FARMACEUTICA	ACT
47895	3DT BIOTIC	500 mg	Tableta Recubierta	Caja Envase Blister Tabletas Recubiertas	100	EN06975	BIOS PERU S.A.C.	LABORATORIOS GABBLAN S.A.C.	AZITROMICINA DIHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
42762	3-GEL	582 mg + 196 mg + 20 mg	Suspensión Oral	Caja Sobre x 10 mL	20	EE04012	DROGUERIA PERU S.A.C. - DROPESAC	DAEWON PHARM CO. LTD	HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA	ESPECIALIDAD FARMACEUTICA	ACT
44453	3-GEL	582 mg + 196 mg + 20 mg	Suspensión Oral	Caja Sobre x 10 mL	1	EE04012	DROGUERIA PERU S.A.C. - DROPESAC	DAEWON PHARM CO. LTD	HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA	ESPECIALIDAD FARMACEUTICA	ACT
56817	3-GEL	582 mg + 196 mg + 20 mg	Suspensión Oral	Caja Sobre x 10 mL	10	EE04012	DROGUERIA PERU S.A.C. - DROPESAC	DAEWON PHARM CO. LTD	HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA	ESPECIALIDAD FARMACEUTICA	ACT
45625	5 FLUCEL 250	250 mg/ 5 mL	Solución Inyectable	Caja Ampollas	5	EE04743	SEVEN PHARMA S.A.C.	CELON LABORATORIES PRIVATE LIMITED	FLUOROURACILO	ESPECIALIDAD FARMACEUTICA	ACT
3	A FOLIC	0.5 mg	Tableta	Caja Envase Blister Tabletas	30	N21715	INSTITUTO QUIMIOTERAPICO S.A. - IQFARMA	INSTITUTO QUIMIOTERAPICO S.A.	ACIDO FOLICO	MEDICAMENTO DE MARCA	ACT
54520	AACHIZDOL FORTE		Tableta Recubierta	Caja Envase Blíster Tableta Recubierta	100	EN08232	LIDER PHARMA S.A.	LABORATORIOS PORTUGAL S.R.L.	CLORFENAMINA MALEATO + BROMHIDRATO DE DEXTROMETORFANO MONOHIDRATO + FENILEFRINA CLORHIDRATO + PARACETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
